Vehicle,Timestamp,POS_X,POS_Y,POS_Z,VEL_X,VEL_Y,VEL_Z,Q_W,Q_X,Q_Y,Q_Z
Chaser,1766009167719,0.0,0.0,-1.2053014039993286,0.0,0.0,-0.34799546003341675,0.1868698000907898,0.0,0.0,-0.9823847413063049
Target,1766009167719,0.0,0.0,-2.3074703216552734,0.0,0.0,0.002246190095320344,-0.13596254587173462,0.0,0.0,-0.9907140135765076
Chaser,1766009167781,0.0,0.0,-1.217846393585205,0.0,0.0,-0.34892067313194275,0.18694859743118286,0.0,0.0,-0.9823697209358215
Target,1766009167781,0.0,0.0,-2.3073949813842773,0.0,0.0,0.001941899536177516,-0.12791168689727783,0.0,0.0,-0.9917855858802795
Chaser,1766009167837,0.0,0.0,-1.2325233221054077,0.0,0.0,-0.34995487332344055,0.18702712655067444,0.0,0.0,-0.9823547601699829
Target,1766009167837,0.0,0.0,-2.3073203563690186,0.0,0.0,0.0016193208284676075,-0.11814895272254944,0.0,0.0,-0.9929959177970886
Chaser,1766009167903,0.0,0.0,-1.2461899518966675,0.0,0.0,-0.3508736789226532,0.1870890110731125,0.0,0.0,-0.9823430180549622
Target,1766009167903,0.0,0.0,-2.3072359561920166,0.0,0.0,0.0033309259451925755,-0.10905759036540985,0.0,0.0,-0.9940354228019714
Chaser,1766009167966,0.0,0.0,-1.2620025873184204,0.0,0.0,-0.3518860340118408,0.1871492564678192,0.0,0.0,-0.9823315143585205
Target,1766009167966,0.0,0.0,-2.307040214538574,0.0,0.0,0.0050564976409077644,-0.09971094876527786,0.0,0.0,-0.9950164556503296
Chaser,1766009168026,0.0,0.0,-1.2757428884506226,0.0,0.0,-0.3527238965034485,0.18719328939914703,0.0,0.0,-0.982323169708252
Target,1766009168026,0.0,0.0,-2.306833505630493,0.0,0.0,0.005440915003418922,-0.09254762530326843,0.0,0.0,-0.9957082867622375
Chaser,1766009168088,0.0,0.0,-1.2905759811401367,0.0,0.0,-0.35358723998069763,0.1872335821390152,0.0,0.0,-0.9823154807090759
Target,1766009168088,0.0,0.0,-2.306605577468872,0.0,0.0,0.005338698625564575,-0.08565565198659897,0.0,0.0,-0.9963247776031494
Chaser,1766009168154,0.0,0.0,-1.3054444789886475,0.0,0.0,-0.35441163182258606,0.18726758658885956,0.0,0.0,-0.9823089241981506
Target,1766009168154,0.0,0.0,-2.3063876628875732,0.0,0.0,0.0050073545426130295,-0.07948717474937439,0.0,0.0,-0.9968358874320984
Chaser,1766009168216,0.0,0.0,-1.320346713066101,0.0,0.0,-0.3551989197731018,0.18729624152183533,0.0,0.0,-0.9823035597801208
Target,1766009168216,0.0,0.0,-2.3061859607696533,0.0,0.0,0.004593840800225735,-0.07392971962690353,0.0,0.0,-0.9972634315490723
Chaser,1766009168283,0.0,0.0,-1.332078456878662,0.0,0.0,-0.35579267144203186,0.18731556832790375,0.0,0.0,-0.9822998642921448
Target,1766009168283,0.0,0.0,-2.306039810180664,0.0,0.0,0.004256233107298613,-0.06992936134338379,0.0,0.0,-0.9975519776344299
Chaser,1766009168346,0.0,0.0,-1.3491768836975098,0.0,0.0,-0.3566187918186188,0.18733946979045868,0.0,0.0,-0.9822952747344971
Target,1766009168346,0.0,0.0,-2.30584716796875,0.0,0.0,0.0037783661391586065,-0.064598448574543,0.0,0.0,-0.9979113340377808
Chaser,1766009168414,0.0,0.0,-1.3598830699920654,0.0,0.0,-0.35711345076560974,0.18735221028327942,0.0,0.0,-0.9822928309440613
Target,1766009168414,0.0,0.0,-2.3057379722595215,0.0,0.0,0.003495688084512949,-0.06151946634054184,0.0,0.0,-0.9981058835983276
Chaser,1766009168485,0.0,0.0,-1.3630977869033813,0.0,0.0,-0.35725870728492737,0.18735574185848236,0.0,0.0,-0.982292115688324
Target,1766009168485,0.0,0.0,-2.3057069778442383,0.0,0.0,0.0034136951435357332,-0.0606294646859169,0.0,0.0,-0.9981603622436523
Chaser,1766009168557,0.0,0.0,-1.3692501783370972,0.0,0.0,-0.3241964876651764,0.1875951588153839,0.0,0.0,-0.9822465181350708
Target,1766009168557,0.0,0.0,-2.305647134780884,0.0,0.0,0.0032537805382162333,-0.0588926337659359,0.0,0.0,-0.9982643127441406
Chaser,1766009168622,0.0,0.0,-1.3758398294448853,0.0,0.0,-0.30613064765930176,0.18813645839691162,0.0,0.0,-0.9821429252624512
