VehicleName,TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z
Chaser,1765460295147,0.0,0.0,-0.8631849884986877,-0.03082408756017685,0.0,0.0,0.9995248317718506
Target,1765460295147,-39.618003845214844,76.61443328857422,-53.28609848022461,0.9994059801101685,0.027682950720191002,0.007951924577355385,-0.018923526629805565
Chaser,1765460295947,0.0,0.0,-0.8631849884986877,-0.1780557781457901,0.0,0.0,0.9840204119682312
Target,1765460295947,-43.694000244140625,84.49748992919922,-58.79072189331055,0.9994067549705505,0.027659384533762932,0.00793434027582407,-0.018924076110124588
Chaser,1765460296802,0.0,0.0,-0.8631849884986877,-0.31344056129455566,0.0,0.0,0.9496078491210938
Target,1765460296802,-47.56764221191406,91.98918914794922,-64.0204849243164,0.9994072318077087,0.027644382789731026,0.007925376296043396,-0.018924299627542496
Chaser,1765460297606,0.0,0.0,-0.8631849884986877,-0.4445878863334656,0.0,0.0,0.8957352638244629
Target,1765460297606,-51.48561096191406,99.56475067138672,-69.30702209472656,0.9994077682495117,0.027628784999251366,0.007918423973023891,-0.01892431639134884
Chaser,1765460298421,0.0,0.0,-0.8631849884986877,-0.5585727095603943,0.0,0.0,0.829455554485321
Target,1765460298421,-55.11449432373047,106.58123016357422,-74.20170593261719,0.9994080662727356,0.02761744149029255,0.00791432149708271,-0.018924325704574585
Chaser,1765460299176,0.0,0.0,-0.8631849884986877,-0.6663637161254883,0.0,0.0,0.7456269264221191
Target,1765460299176,-58.88795471191406,113.87725067138672,-79.28949737548828,0.9994084239006042,0.027606528252363205,0.007910864427685738,-0.01892433688044548
Chaser,1765460299961,0.0,0.0,-0.8631849884986877,-0.7654521465301514,0.0,0.0,0.6434928178787231
Target,1765460299961,-62.83490753173828,121.50872039794922,-84.6092758178711,0.9994087815284729,0.027595117688179016,0.007907243445515633,-0.018924348056316376
Chaser,1765460300782,0.0,0.0,-0.8631849884986877,-0.8490421772003174,0.0,0.0,0.5283251404762268
Target,1765460300782,-66.75294494628906,129.08428955078125,-89.88807678222656,0.9994090795516968,0.027583766728639603,0.007903623394668102,-0.018924357369542122
Chaser,1765460301598,0.0,0.0,-0.8631849884986877,-0.9152253270149231,0.0,0.0,0.4029424488544464
Target,1765460301598,-70.68544006347656,136.68780517578125,-95.18435668945312,0.9994094371795654,0.027572503313422203,0.007900004275143147,-0.018924368545413017
Chaser,1765460302414,0.0,0.0,-0.8631849884986877,-0.9610099196434021,0.0,0.0,0.2765139639377594
Target,1765460302414,-74.40106964111328,143.87200927734375,-100.18668365478516,0.9994097948074341,0.02756175585091114,0.007896669209003448,-0.018924379721283913
Chaser,1765460303186,0.0,0.0,-0.8631849884986877,-0.9894194006919861,0.0,0.0,0.14508382976055145
Target,1765460303186,-78.10224151611328,151.02825927734375,-105.16777801513672,0.999410092830658,0.0275510735809803,0.007893301546573639,-0.01892438903450966
Chaser,1765460303958,0.0,0.0,-0.8631849884986877,-0.9999271035194397,0.0,0.0,0.012077274732291698
Target,1765460303958,-81.78895568847656,158.15655517578125,-110.1276626586914,0.9994103908538818,0.02754049561917782,0.007889905013144016,-0.018924398347735405
Chaser,1765460304724,0.0,0.0,-0.8631849884986877,-0.9929487109184265,0.0,0.0,-0.11854515969753265
Target,1765460304724,-85.40338134765625,165.14508056640625,-114.98859405517578,0.9994106888771057,0.02753017283976078,0.007886653766036034,-0.01892440766096115
Chaser,1765460305472,0.0,0.0,-0.8631849884986877,-0.9684601426124573,0.0,0.0,-0.2491685152053833
Target,1765460305472,-89.07563781738281,172.24542236328125,-119.92558288574219,0.9994110465049744,0.027519628405570984,0.00788324885070324,-0.018924418836832047
Chaser,1765460306236,0.0,0.0,-0.8623881936073303,-0.9389966130256653,0.0,0.0,-0.34392648935317993
